[30/May/2026:09:34:27 +0000] IP: 172.20.10.14 | Request: "GET /static/admin/css/responsive.css HTTP/1.1" | Status: 304 | Time: 0.073s
[30/May/2026:09:34:27 +0000] IP: 172.20.10.14 | Request: "GET /static/admin/js/theme.js HTTP/1.1" | Status: 304 | Time: 0.079s
[30/May/2026:09:34:27 +0000] IP: 172.20.10.14 | Request: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" | Status: 304 | Time: 0.018s
[30/May/2026:09:34:27 +0000] IP: 172.20.10.14 | Request: "GET /static/admin/css/login.css HTTP/1.1" | Status: 200 | Time: 0.117s
[30/May/2026:09:34:32 +0000] IP: 172.20.10.14 | Request: "GET /admin/login/?next=/admin/ HTTP/1.1" | Status: 200 | Time: 0.009s
[30/May/2026:09:38:05 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.018s
[30/May/2026:09:38:05 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.009s
[30/May/2026:09:38:05 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.011s
[30/May/2026:09:38:08 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.012s
[30/May/2026:09:40:12 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.017s
[30/May/2026:09:40:12 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.018s
[30/May/2026:09:40:13 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.015s
[30/May/2026:09:40:13 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.011s
[30/May/2026:09:40:13 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.007s
[30/May/2026:09:40:22 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.018s
[30/May/2026:09:40:29 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.015s
[30/May/2026:09:40:44 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.020s
[30/May/2026:09:40:55 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.025s
[30/May/2026:09:41:18 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 1.013s
[30/May/2026:09:41:39 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.025s
[30/May/2026:09:41:44 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.016s
[30/May/2026:09:49:58 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 200 | Time: 0.195s
[30/May/2026:09:50:24 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 200 | Time: 0.331s
[30/May/2026:09:54:04 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 200 | Time: 0.192s
[30/May/2026:10:06:43 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 200 | Time: 0.224s
[30/May/2026:10:17:45 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 200 | Time: 0.138s
